Modelo,Descripcion,Fabricante,CalibracionInterna
OS-270,DECADA DE RESISTENCIA,IET LAB,False
OS 260,DECADA DE RESISTENCIA,IET LAB,False
PAX-H,DIG. PANEL METER,RED LION,False
420-G,PANEL METER,TRIPLETT,False
AN-2559,PANEL METER,ANALOGIC,False
0-150 VAC,PANEL METER,SIMPSON,False
2500/5,AC PANEL METER,SIMPSON,False
2124,PANEL METER,SIMPSON ELEC,True
Q9000DCR6,DIGITAL PANEL METER,NEWPORT,True
27,PANEL METER,SIMPSON ELECTRI,True
2842,DIG. PANEL METER,SIMPSON ELEC,True
2844,DIG. PANEL METER,SIMPSON ELECTR,True
2865,DIG. PANEL METER,SIMPSON ELECTR,True
F35-1-34-0,DIG. PANEL METER,SIMPSON,True
59,AC PANEL METER,SIMPSON,False
2004,DIG. PANEL METER,NEWPORT ELECTRO,True
M SERIES,VOLMETER,MOUTEC,True
2001-1,DIGITAL PANEL METER,SETRA SYSTEM,True
CA43010000,PANEL METER,SIMPSON ELECTRO,True
CA77030000,DIG. PANEL METER,SIMPSON ELECTR.,True
K3TE,VOLMETRO DIG.,OMRON,False
K3 TE,VOLMETRO DIG,OMRON,True
TCP0020,CLAMPM METER OSCILOSCOPIO,TECKTRONIX,False
TCP305A,CLAMP METER (OSCILOSCOPIO,TEKTRONIX,False
WAVERUNER,Oscilloscope,Le Croy Corp,False
TDS210,OSCILOSCOPIO,TECKTRONIX,False
TDS-3032B,OSCILOSCOPIO,TECKTRONIX,False
DP02002B,OSCILOSCOPIO,TECKTRONIX,False
DPO 2002B,OSCILOSCOPIO,TECKTRONIX,False
DSOX3012T,OSCILOSCOPIO,KEYSIGHT,False
MSOX4104A,OSCILOSCOPIO DE PANTALLA GND.,KEYSIGHT,False
DPO202B,OSCILOSCOPIO,TECKTRONIX,False
TDS2022C,OSCILOSCOPIO,TEKTRONIX,False
TDS-1002,OSCILOSCOPIO,TECKTRONIX,False
54622D,Oscilloscope,Agilent,False
N932013,Spectrum Analizer,Agilent,False
2020B,POWER SUPPLY,POWER DESIGNS,False
1635,POWER SUPPLY,B&K Precision,True
PTS-4000,POWER SUPPLY DUAL,TOPWARD ELECTRI,False
230,Programmable Voltage Source,Keithley,False
6205S,"Power Supply, Dual",HP,False
GPT9804,HIPOT,VITREK,False
HDB4-AT-CT,Hi-pot Tester,Hipotronics,False
2040A,Power Supplies,Power Design,False
HY3005,Power Supplies,MASTECH,False
5560DT,HI POT,HYPOTPLUSII,False
V61,Hi-pot Tester,VITREK,False
GPT-9804,HI-POT,GW INSTEK,False
2602B,POWER SOURCE,KITLEY,False
9801,POWER SOURCE,BK PRESICION,False
1696,POWER SUPPLY,B&K PRECISION,False
9129B,POWER SUPPLY,BK PRECISION,False
BK9801,POWER SUPPLY,bk PRECISION,False
GPT-9803,HI POT TESTER,GW INSTEK,False
E3645,POWER SUPPLY,KEISEIGHT,False
GPT-8803,HI POT TESTER,GW INSTEK,False
GPT9803,HI POT,GW-INSTEK,False
9081,AC POWER SUPPLY,BK PRECISION,False
E36104A,POWER SUPPLY,KEYSIGHT,False
E36104B,POWER SUPPLY,KEYSIGHT,False
9128,AC POWER SUPPLY,BK PRESICION,False
XDL,POWER SUPPLY,Sorensen,False
9108,AC POWER SUPPLY,BK PRESICION,False
9801B,POEWR SUPPLY AC,BK PRECISION,False
E3641A,DC POWER SUPPLY,KEYSIGTH,False
9129,DC POWER SUPPLY,BK PRESICION,False
E3645A,DC POWR SUPPLY,KEYSIGHT,False
GENH60-12.,DC POWER SUPPLY,TKD LAMBDA,False
6181C,COURRENT SOURCE,HEWELETT PACKAR,True
2400,POWER SOURCE,KEITLEY,False
CP2,POWER SUPPLY,TEKO,False
TP1800,Power Supplies,Power Design,False
PS2520G,Power Supplies,Tektronix,False
QRD 30-1,POWER SUPPLIES,SORENSON,False
ABC 40-0.5,POWERS SUPLIES,KEPCO,False
M9000-200,POWER SUPPLY,JOHNSON CONTROL,False
M-9000-200,POWER SUPLY,JOHNSON CONTROL,False
HDB4ATCT,HIPOT TESTER,HIPOTRONICS,False
CDM-250,MULTIMETRO,TEKTRONIX,False
8840A,MULTIMETRO DIG.,FLUKE,False
3478A,MULTIMETRO DIGITAL,HEWLETT PACKARD,False
2869,AC Panel Meter,Simpson,False
PS281,Power Supply,Tektronix,False
0-50V,AC VoltMeter,Simpson,False
2831A,Digital Multimeter,B&K Precision,False
45,Digital Multimeter,FLUKE,False
2000,DMM,Keithley,False
8050A,MULTIMETRO DIGITAL,FLUKE,False
2835,Digital Multimeter,B&K Precision,False
8842A,Multimeter,Fluke,False
34970A,Multimeter,HP,False
3323,ANALOGO PANEL METER,SIMPSON,False
73,DIG MULTIMETRO INDIVIDUAL,Fluke,False
5460,MULTIMETRO DIG.,B&K Precision,False
DM-441B,DMM,LG,False
5490,DIG. MULTIMETRO,BK PRECISION,False
MXD-4660A,Digital Multimeter,METEX,False
34401A,Multimeter,HEWLETT PACKARD,False
70 III,DIG MULTIMETRO INDIVIDUAL,Fluke,False
349704,DATA ACQUISITION/SW UNIT,AGILENT,False
34410A,Digital Multimeter,Agilent,False
3349A,DATA-ADQUISITION,AGILENT,False
77 IV,MULTIMETRO DIG. (MUT INDIVIDUAL),FLUKE,False
115,MULTIMETRO,FLUKE,False
72-1055,MULTIMETRO DIG.,TENMA,False
2831E,MULTIMETRO DIG.,BK PRECISION,False
287,MULTIMETRO DIG.,FLUKE,False
345970A,DATA ADQUISITION,KEYSIGHT,False
5491B,MULTIMETRO DIGITAL,BK PRECISION,False
34972A,DATA ADQUISITION,KEYSIGHT,False
34461A,MULTIMETRO,KEYSIGHT,False
DAQ970A,DATA ADQUISITION,KEYSIGHT,False
8808A,MULTIMETRO,FLUKE,False
73 III,MULTIMETRO DIG.,FLIKE,False
289,MULTIMETRO DIGITAL,FLUKE,False
U1252A,MULTIMETRO DIG,AGILENT,False
117,MULTIMETRO DIGITAL,FLUKE,False
80101A,MULT. DIG.,FLUKE,False
8010A,MULTIMETRO DIG,FLUKE,False
8600A,MULTIMETRO DIG.,FLUKE,False
8010 A,MULTIMETRO DIG,FLUKE,False
8810A,MULTIMETRO DIG.,FLUKE,False
179,MULTIMETRO DIG.,KEITHLEY,False
LT83,MULTIMETRO DIG.,FIELDSPACE,False
83 III,Multimeter,Fluke,False
8000A,MULTIMETRO,FLUKE,False
407735,AUDIOMETRO,EXTECH,False
RA-300,MEDIDOR DE AUDIO,TREMETICS,False
2671,AUDIO,,False
AD226,AUDIOMETRO DE CABINA,INTERACOUSTICS,False
407732,SOUND LEVEL METER,EXTECH,False
2287I,INCIRCUIT,GENRAD,False
2281I,INCIRCUIT,GENRAD,False
2280,INCIRCUIT,GENRAD,False
22871I,INCIRCUIT,GENRAD,False
Z-1888-2,INCIRCUIT,TERADYNE,False
CSC-343-24,INCIRCUIT,TERADYNE,False
H3CR,CRONOMETRO,OMRON,False
8004-84,CRONOMETRO,WEST,False
2940J03891,LCR Meter,HP,False
4263B,LCR METER,AGILENT,False
LCR-6300,LCR,GWINSTEK,False
E4980A,LCR METER,KEYSIGHT,False
PCS-715A,Static Fieldmeter,Prostat,False
41201,Wrist Strap Tester,ESD SYSTEMS,False
19240,Wrist Strap Tester,Desco,False
19635,Medidor De Superficies,Desco,False
19250,Wrist Strap Tester,Desco,False
MENTORBC05,BASCULA TOLEDO,MENTORBCO5-000,False
SC,SCALE,TOLRDO,False
N4010A,WRELESS CONECTIVITY,Agilent,False
PAXH,AC Current Meter,RED LION CONTRO,False
FSH3,SPECTRUM ANALIZER,RODHE SHWARZ,False
300B,MEDIDOR DE ESTATICA,ACL STATICIDE,False
19280,WRIST STRAP TESTER,DESCO,False
PC-250,CONTADOR DE RESISTENCIAS,V-TEK,False
PAX H,PANEL METER AMP,RED LION,False
VERSA COUN,CONTADORA DE RESISTENCIA,V-TEK,False
N2893A,PUNTA DE CORRIENTE,KEYSIGHT,False
33621A,GENERADOR DE SEÑAL,KEYSIGHT,False
N9000B,SPECTRUM,KEYSIGHT,False
6000,MEDIDOR DE SPESOR,POSITECTOR,False
12AL,FILTRO DE RUIDO,G.R.A.S,False
2510,HIPOT,SLAWGHTER,False
N9320B,SPECTRUM ANALIZER,KEYSIGHT,False
PRS-801,MEDIDOR DE RESISTENCI,PROSTAT,False
61-164,SURE TEST CIRCUIT ANALIZER,IDEAL,False
PDT-740B,STATIC DECAY TIMER,PROSTAT,False
PCS-730,ELECTROSTATIC OUPUT,PROSTAT,False
PFM-711A,ELECTROSTATIC FIELDMETER,PROSTAT,False
CPM-720A,PLATE MONITOR,PROSTAT,False
PAL-1,REFRACTOMETRO,ATAGO,False
PLUS2-A-H-,RADIO METRO,INSTRUMENT MARK,False
EDX-200A-4,STRAIN GAUGE (MEDIDOR DE TENSION),KYOWA,False
PP2-H-U,RADIOMETRO,EIT,False
3A5,THERMOCOUPLE,TELEVAC,False
ME-5KVCC,INSULATION TESTER,MILWAKE ELECTRO,True
2520,HI POT,SLAUGTHER,False
M100bV55,HI POT TESTER,ROD-L,False
880209,LUXOMETRO,EXTECH,False
TD8620,Medidor de gaussmeter con imán,TUNKIA,False
AFI-100,Cicuit interrupter tester,GREENLEE,False
500-322,DIG. CALIPER,MITUTOYO,True
536709,CENTER CALIPER,MITUTOYO,False
342-741,DIG. MICROMETRO (PUNTAS),MITUTOYO,True
293-721-30,DIG. MICROMETRO,MITUTOYO,True
A1-921,Dial Indicator,Teclock Co.,False
AI-921,Dial Indicator,Teclock Co.,False
575-213,DIG. INDICADOR,MITUTOYO,True
ID-C150TB,DIG. INDICADOR,MITUTOYO,True
"CD-S6"" CT",CALIPER,MITUTOYO,True
"CD 6"" CS",DIG. CALIPER,MITUTOYO,True
"CD-8""",DIG. CALIPER,MITUTOYO,True
SH8H68083,DIG. ICALIPER,FOLOWER,False
"CD-6""ASX",DIG. CALIPER,MITUTOYO,True
"CD-12""CP",DIG. CALIPER,MITUTOYO,True
CD-6'ASX,DIG. VERNIER,MITUTOYO,True
"CD-6"" ASX",DIG. VERNIER,MITUTOYO,True
"CD-12"" PMX",DIG. VERNIER,MITUTOYO,True
"CD-8""ASX",DIG. CALIPER,MITUTOYO,True
193-211,MICROMETRO ANALOGO,MITUTOYO,True
293-721-10,DIG. MICROMETRO,MITUTOYO,True
7074211,DIG. MICROMETRO,MITUTOYO,True
323-711-10,MICROMETRO DIG,MITUTOYO,True
"CD-6""CS",DIG. CALIPER,MITUTOYO,True
293-765-30,MICROMETRO DIG,MITUTOYO,True
500-196,DIG. CALIPER,MITUTOYO,True
293-344,MICROMETRO DIG.,MITUTOYO,True
505-627-50,CALIPER ANALOGO,MITUTOYO,True
"CD 6"" CSX",DIG. CALIPER,MITUTOYO,True
"CD-6""CSX",DIG. CALIPER,MITUTOYO,True
"CD-8"" CSX",DIG. CALIPER,MITUTOYO,True
54-850/860,DIG. CALIPER,FOWLER,True
850,micrometrro,fowler,True
IP-65,Micrometro dig.,Mitutoyo,True
"CSX-6""",DIG. CALIPER,MITUTOYO,True
"CSX6""",DIG. CALIPER,MITUTOYO,True
"CSX-12""",DIG. CALIPER,MITUTOYO,True
CD-6 ASX,DIG. CALIPER,MITUTOYO,True
"CD-8"" ASX",DIG. CALIPER,MITUTOYO,True
543-564A,DIG. INDICADOR,MITUTOYO,True
"CD-8""CS",VERNIER DIGITAL,MITUTOYO,True
"MDC-1"" M",MICROMETRO DIGITAL,MITUTOYO,True
HDS-18,ALTIMETRO,MITUTOYO,True
112-225,Micrometro de puntas,MITUTOYO,True
293-715,MICROMETRO DIGITAL,MITUTOYO,True
422-341,MICROMETRO DIG BLADE,MITUTOYO,True
CD-8 CSX,VERNIER DIG.,MITUTOYO,True
210,MICROMETRO ANALOGO,STARRETT,True
263R,Micrometro de profundidad,STARRETT,True
"CD-8"" CS",VERNIER DIGITAL,MITUTOYO,True
"CD-8""-CS",VERNIER DIGITAL,MITUTOYO,True
IP65,MICROMETRO DE PUNTAS,MITUTOYO,True
"CD-8""CSX",VERNIER DIG.,MITUTOYO,True
192-656,ALTIMETRO,MITUTOYO,True
293-722-30,MICORMETRO DIG.,MITUTOYO,True
121-355,Super micrometro (dig),MITUTOYO,True
440,MICROMETRO DE PROFUNDIDAD,STARRET,True
445,MICROMETRO DE PROFUNDIADSTARRET,STARRET,True
256,MICROMETRO DE DISCO,STARRETT,True
"CD 8"" CSX",DIG.CALIPER,MITUTOYO,True
"CD-08""CSX",VERNIER DIGITAL,MITUTOYO,True
"CD-6"" CS",VERNIER DIGITAL,MITUTOYO,True
CD-8'ASX,DIGITAL CALIPER,MITUTOYO,True
CD-6CSX,DIG. CALIPER,MITUTOYO,True
"0 A 8""ASX",DIG. CALIPER,MITUTOYO,True
"MDC-1""SX",MICROMETRO DIG.,MITUTOYO,True
CD 6 ASX,DIG. CALIPER,MITUTOYO,True
"8"" asx",DIG. CALIPER,MITUTOYO,True
"CD-8""AXWW",DIGITAL CALIPER,MITUTOYO,True
"CD 6"" ASX",DIG. CALIPER,MITUTOYO,True
"CD8""- ASX",CALIPER  DIG,MITUTOYO,True
"CD-12""",DIG. CALIPER,MITUTOYO,True
"CD 8""ASX",DIGITAL CALIPER,MITUTOYO,True
"CD 8"" ASX",DIG. VERNIER,MITUTOYO,True
"CD-8""asx",DIG. CALIPER,MITUTOYO,True
"CD 6""ASX",DIG. CALIPER,MITUTOYO,True
CD-8' ASX,DIGITAL VERNIER,MITUTOYO,True
CN29383130,DIG. MICROMETRO,MITUTOYO,True
CD-24-C,DIG CALIPER,MITUTOYO,False
"CD-8""AXS",DIGITAL CALIPER,MITUTOYO,True
DEI-13111,DIG. INDICADOR,FEDERAL CORP.,True
ID-F150HE,DIG. INDICADOR,MITUTOYO,True
2416F,DIAL INDICADOR,MITUTOYO,True
ID-U1025E,DIG. INDICADOR,MITUTOYO,True
ID-S1012EB,INDICADOR DIGITAL,MITUTOYO,True
2781-08,DIAL INDICADOR,MITUTOYO,True
AG 698,DIAL INDICADOR,AMES,True
AG698,DIAL INDICADOR,AMES,True
D6Q,DIAL INDICADOR,FEDERAL,True
2-C100-250,DIAL INDICAADOR,FEDERAL,True
543-111,DIG. INDICADOR,MITUTOYO,True
384,DIAL INDICADOR,AMES,True
543-272,DIG. INDICADOR,MITUTOYO,True
ID-F125E,DIG. INDICADOR,MITUTOYO,True
1411,DIAL INDICADOR,MITUTOYO,True
2410F,DIAL INDICADOR,MITUTOYO,True
ID-C112XB,DIG.DIAL INDICADOR,MITUTOYO,True
ID150ME,DIG. INDICAADOR,MITUTOYO,True
85002,DIAL INDICADOR,PRECISION BRAND,True
ID-C112E,DIAL INDICADOR,MITUTOYO,True
ID-C112T,DIAL INDICADOR,MITUTOYO,True
C70,DIAL INDICADOR,FEDERAL,True
1086R,DIG. INDICADOR,MAHR GMBH-ESSLI,True
ID-01050EX,DIG. INDICADOR,MITUTOYO,True
ID-C150EXB,DIG. INDICADOR,MITUTOYO,True
ID-C105EXB,DIG. INDICADOR,MITUTOYO,True
IDS1012EXB,DIG. INDICADOR,MITUTOYO,True
PT-100,WIRE CRIM PULL TEST,ALPHATRON,False
WT3-201M,DIG. FORCE GAGE,MARK-10,False
DPP-5,FORCE GAGE,CHATILLON,False
DPP-25,FORCE GAGE,CHATILLON,False
DFI50,FORCE GAGE,CHATILLON,False
DFA-R-10,CELDA DE FUERZA,CHATILLON,True
FDK-60,FORCE GAGE,WARNER,False
30,FORCE GAGE,WAGNER,False
DPP-160,FORCE GAGE,CHATILLON,False
DPP-10,FORCE GAGE,CHATILLON,False
DRC 100,DIGITAL FORCE GAGE,CHATILLON,True
ET1100,TENSIOMETRO,CHATILLON,False
MST-250LBS,SPRIN TESTER,CHATILLON,False
DFM500,FORCE GAGE,CHATILLON,False
LCCA-3K,CELDA DE FUERZA,OMEGA,False
DM-34-NM,TORQUEMETER,STURTEVANT,True
BF035,TORQUE DESARMADOR,MOUNTZ,True
0 A 15 LBS,TORQUEMETER,SNAP-ON,False
651C-3,TORQUEMETER,WATERS,False
651X-4,TORQUEMETER,WATERS,False
TT500,TORQUEMETER,Torque leader,False
30-D,TORQUEMETER,CRANE,False
651C2,TORQUEMETER,WATERS,False
TL- SERIES,TORQUE ANALIZER,MOUNTZ,False
6PAF3,TORQUETESTER,WESTWARD,True
FEI,DYNANOMETRO,ALIMED INC,False
SKD-B1000L,T0RQUE,KLEWS INDUSTRIA,False
F-25-1,TORQUE WRENCH,STURTEVANT,False
TORQUE IVC,TORQUEMETER,CRANE,False
HHT035,TORUE METER,OMEGA,False
151LDN,TORQUEMETER,CDI TORQUE PROD,False
1502DIN,TORQUE METER,CDI TORQUE PRDO,False
751DIN,TORQUEMETER,CDI TORQUE PROD,False
SSI,CELDA DE TORQUE,TRAN. TECHNIQUE,False
MD501,TORQUE,STURTEVANT/RICH,False
J6121F,TORQUE,PROTO,False
1502LDIN,TORQUE,CDI,True
751LDIN,TORQUE,CDI,False
DB-1501-3A,DIAL  TORQUEMETER,TOHNICHI,False
MTWD135,TORQUEMETER,MOUNTZ,False
10T-ICDI,TORQUE WRENCH,,False
SK T0765,TORQUE WRENCH,,False
ASG-SD2500,TORQUE,ASG,False
1002CF3,TORQUE METER/MANUAL,COMPUTORQ,False
LTT,TORQUEMETER,MOUNTS,False
900-385,HARDNESS TESTER/DUROMETRO,PHASEII,False
